Institution,Rank_earned_doct,Percentile_earned_doct,Rank_full_time_grad,Percentile_full_time_grad,Rank_tot_rd,Percentile_tot_rd,Rank_research_space,Percentile_research_space
Indiana Wesleyan U.,0,0.0,0,0.0,667,73.6,0,0.0
"Institute for Clinical Social Work, Chicago",348,77.9,0,0.0,0,0.0,0,0.0
"Inter American U. Puerto Rico, Metro",334,74.8,365,53.2,0,0.0,0,0.0
"Inter American U. Puerto Rico, San German",0,0.0,523,75.9,0,0.0,0,0.0
"Inter American University of Puerto Rico, Fajardo",0,0.0,690,99.9,0,0.0,0,0.0
Iona C.,0,0.0,453,65.9,797,87.8,0,0.0
Iowa State U.,50,11.9,84,12.9,77,9.3,42,8.0
Ithaca C.,0,0.0,609,88.2,636,70.2,416,71.6
Jackson State U.,178,40.2,388,56.5,301,33.7,313,54.1
Jacksonville State U.,0,0.0,538,78.1,855,94.1,0,0.0
Jacksonville U.,0,0.0,352,51.4,778,85.7,0,0.0
James Madison U.,288,64.6,382,55.7,314,35.1,298,51.5
Jewish Theological Seminary of America,430,96.0,0,0.0,0,0.0,0,0.0
John Carroll U.,0,0.0,628,91.0,811,89.3,0,0.0
Johns Hopkins U.,32,7.9,15,3.0,1,1.0,4,1.5
Johnson C. Smith U.,0,0.0,0,0.0,509,56.4,465,79.9
Juniata C.,0,0.0,0,0.0,809,89.1,0,0.0
Kalamazoo C.,0,0.0,0,0.0,730,80.5,0,0.0
Kansas City U. Medicine and Biosciences,0,0.0,397,57.8,0,0.0,0,0.0
Kansas State U.,93,21.4,124,18.7,120,14.0,54,10.0
Kean U.,0,0.0,368,53.7,463,51.4,414,71.3
Keck Graduate Institute,396,88.5,299,43.8,526,58.2,519,89.1
Keene State C.,0,0.0,0,0.0,661,73.0,543,93.2
Keiser U.,0,0.0,316,46.2,782,86.2,0,0.0
Kennesaw State U.,343,76.7,222,32.7,283,31.8,376,64.8
Kent State U.,0,0.0,149,22.2,205,23.2,207,36.0
"Kent State U., Kent",118,26.9,0,0.0,0,0.0,0,0.0
Kentucky State U.,0,0.0,623,90.2,354,39.5,418,71.9
Kenyon C.,0,0.0,0,0.0,585,64.7,0,0.0
Kettering U.,0,0.0,594,86.1,600,66.3,406,69.9
Kutztown U. Pennsylvania,0,0.0,625,90.5,850,93.6,0,0.0
La Salle U.,0,0.0,401,58.4,678,74.8,0,0.0
La Sierra U.,354,79.2,0,0.0,584,64.6,0,0.0
Lafayette C.,0,0.0,0,0.0,637,70.3,299,51.7
Lake Erie C. Osteopathic Medicine,0,0.0,278,40.7,759,83.7,0,0.0
Lake Forest C.,0,0.0,0,0.0,858,94.4,0,0.0
Lake Superior State U.,0,0.0,0,0.0,614,67.8,0,0.0
Lamar U.,308,69.0,89,13.6,420,46.7,235,40.8
Langston U.,0,0.0,0,0.0,384,42.8,356,61.4
Lawrence Technological U.,430,96.0,519,75.3,564,62.4,0,0.0
Lawrence U.,0,0.0,0,0.0,747,82.3,0,0.0
LeTourneau U.,0,0.0,653,94.6,829,91.3,0,0.0
Lehigh U.,159,36.0,165,24.5,224,25.3,222,38.6
Lewis U.,0,0.0,263,38.6,0,0.0,0,0.0
Lewis and Clark C.,0,0.0,0,0.0,524,58.0,534,91.7
Lewis-Clark State C.,0,0.0,0,0.0,804,88.6,0,0.0
Liberty U.,0,0.0,17,3.3,654,72.2,261,45.2
Life U.,0,0.0,0,0.0,818,90.1,0,0.0
Lincoln Memorial U.,0,0.0,519,75.3,0,0.0,0,0.0
"Lincoln U., Jefferson City",0,0.0,665,96.3,367,40.9,367,63.3
Lindenwood U.,0,0.0,592,85.8,0,0.0,0,0.0
Linfield U.,0,0.0,0,0.0,871,95.9,0,0.0
Lipscomb U.,0,0.0,440,64.0,835,91.9,0,0.0
Loma Linda U.,248,55.7,276,40.5,321,35.9,340,58.7
Long Island U.,0,0.0,187,27.7,311,34.8,139,24.5
"Long Island U., Brooklyn",297,66.6,0,0.0,0,0.0,0,0.0
"Long Island U., Brookville",430,96.0,0,0.0,0,0.0,0,0.0
